Locate_zh,Locate_kh,Locate_en,Number
班迭棉吉省,បន្ទាយមានជ័យ,Banteay Meanchey,1
马德望省,បាត់ដំបង,Battambang,2
磅湛省,កំពង់ចាម,Kampong Cham,3
磅清扬省,កំពង់ឆ្នាំង,Kampong Chhnang,4
磅士卑省,កំពង់ស្ពឺ,Kampong Spoe,5
磅通省,កំពង់ធំ,Kampong Thom,6
贡布省,កំពត,Kampot,7
甘丹省,កណ្តាល,Kandal,8
戈公省,កោះកុង,Koh Kong,9
桔井省,ក្រចេះ,Kratié,11
蒙多基里省,មណ្ឌលគីរី,Mondulkiri,12
金边市,ភ្នំពេញ,Phnom Penh,15
柏威夏省,ព្រះវិហារ,Preah Vihear,17
波罗勉省,ព្រៃវែង,Prey Veng,19
菩萨省,ពោធិសាត់,Pursat,18
拉达那基里省,រតនគីរី,Ratanakiri,20
暹粒省,សៀមរាប,Siem Reap,21
西哈努克省,ក្រុងសីហនុ,Krŏng Preah Sihanouk,16
上丁省,ស្ទឹងត្រែង,Stung Treng,22
柴桢省,ស្វាយរៀង,Svay Rieng,23
茶胶省,តាកែវ,Takéo,24
奥多棉芷省,ឧត្តរមានជ័យ,Oddar Meancheay,13
白马市(省级行政区),កែប,Krŏng Kep,10
拜林市(省级行政区),ប៉ៃលិន,Krŏng Paĭlin,14
特本克蒙省,ខេត្តត្បូងឃ្មុំ,Tbong Khmum,25
